,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.626830244064331,0.42506775155946347,0.0066948413848876955,0.0035369271974695763,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
1,1.4492376804351808,0.2544625401829149,0.005996561050415039,0.0017934900755849777,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
2,1.962045669555664,0.2907448707148907,0.008547592163085937,0.0018256707087672907,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
3,2.369304084777832,0.4215937275992985,0.00865345001220703,0.00263706388935462,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
4,2.516001749038696,0.28395527051405534,0.01482081413269043,0.015223846516508491,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
5,2.8174752712249758,0.18466980838438707,0.008038902282714843,0.0008096035491274067,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
6,2.9563844203948975,0.3719556516979156,0.007991838455200195,0.0007645995794086206,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
7,2.8277004241943358,0.4696739078671242,0.008232879638671874,0.0026724358521296697,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
8,3.147533321380615,0.34331992366006986,0.006931209564208984,0.002233048871069011,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
9,3.393410587310791,0.4277576492400524,0.0059603691101074215,0.002158061435717189,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
10,3.6899812698364256,0.799178441007035,0.0105316162109375,0.008021426359851157,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
11,3.7159257888793946,0.338727632196626,0.010996294021606446,0.0055665824076945435,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
12,3.7115782260894776,0.36897288402711115,0.007705783843994141,0.0009143775012563463,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
13,4.397159576416016,0.9144184566004132,0.0077970027923583984,0.0032532612818086423,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",0.5,0.4999999999999999,0.5,0.5,0.5207450509139206,0.5041394575883495,0.008290847321027037,23,0.5,0.5,0.5000000000000001,0.5,0.5211263596026231,0.5042252719205246,0.00845054384104923
14,5.043648147583008,0.4112951951436645,0.016890287399291992,0.01655807641471672,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
15,1.0423536777496338,0.13510256210390995,0.005413866043090821,0.0017228145504330494,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",0.5,0.5077864031992472,0.5,0.5,0.5051546391752577,0.5025882251884655,0.0032782835743983838,30,0.5,0.5029343052051211,0.5000000000000001,0.5,0.5017984057800292,0.50094654219703,0.001213647373222584
16,1.3365557193756104,0.18624206345213812,0.005728864669799804,0.001101146345937454,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 3}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
17,1.6249346256256103,0.10236458307353986,0.01812601089477539,0.016686785202530207,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 4}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
18,1.6178943157196044,0.3132690163231974,0.0055520057678222655,0.0033253793703345007,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
19,1.9307971477508545,0.46961385410744105,0.007595968246459961,0.003758885857659835,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 6}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
20,2.125587511062622,0.21018625726497328,0.005219125747680664,0.0012040649686469568,0.1,"(50,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 7}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
21,2.252022552490234,0.2913926465026159,0.006308698654174804,0.0021066613497309028,0.1,"(50,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 8}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
22,2.3378880500793455,0.16197287075656544,0.008772039413452148,0.004155440609341006,0.1,"(50,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 9}",0.5,0.5051752528816748,0.5,0.5066855434953594,0.5,0.5023732349061076,0.0029442307436843927,34,0.5,0.505432841987222,0.5000000000000001,0.5052925472834966,0.5,0.5021450778541438,0.0026275476705277952
23,2.3873289585113526,0.3001934652421282,0.004918098449707031,0.0009778951050003865,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
24,2.8659528255462647,0.4288531778073833,0.005881738662719726,0.0013513794343816426,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 15}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
25,2.770369291305542,0.2596583161347043,0.015470600128173828,0.019305637151716976,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 20}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
26,3.215070915222168,0.23795465141751512,0.007470035552978515,0.002009433621205032,0.1,"(50,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 25}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
27,3.3225889205932617,0.3362113624655341,0.014696025848388672,0.01787894601069295,0.1,"(50,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 30}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
28,3.9149844646453857,0.2612251554431436,0.007191944122314453,0.0018768623432307726,0.1,"(50,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 35}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
29,4.705116891860962,0.4886298456414585,0.007174348831176758,0.0036060789978400055,0.1,"(50,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 40}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
30,0.7396352291107178,0.15864298392954604,0.02370734214782715,0.013827911847638189,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 2}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
31,0.8604856491088867,0.13714889704291514,0.046837902069091795,0.021873056942086102,0.1,"(25,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 3}",0.5,0.4999999999999999,0.5080462482302973,0.5107047349378637,0.5,0.5037487575712247,0.004669019777891118,27,0.5,0.5,0.5414862184408094,0.5350908318867988,0.5,0.5153154100655216,0.018866180724517196
32,0.9569566726684571,0.12785261756572935,0.03336853981018066,0.02138865177201935,0.1,"(25,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 4}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
33,1.1593225479125977,0.25023524736980957,0.05329694747924805,0.024794780055705203,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 5}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
34,1.2982846736907958,0.3514537777895805,0.05484895706176758,0.01465173432089318,0.1,"(25,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 6}",0.5,0.49442484121383196,0.5078338839075036,0.5,0.49846625766871167,0.5001433901063544,0.0043524806266726085,46,0.5,0.5023480343696359,0.49924658974968894,0.5,0.5,0.500318924823865,0.001055682451296682
35,1.4295639514923095,0.11935915521598561,0.05840954780578613,0.014235877494955623,0.1,"(25,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 7}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
36,1.532819652557373,0.2860699411256015,0.06787896156311035,0.03373405251913187,0.1,"(25,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 8}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
37,1.5085786819458007,0.38322871370673794,0.07456636428833008,0.032729302220213266,0.1,"(25,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 9}",0.5046812514702422,0.4999999999999999,0.5,0.5,0.5,0.5009376873628036,0.0018735775285241517,42,0.5036809152120559,0.5,0.5000000000000001,0.5,0.5,0.5007361830424112,0.001472366084822363
38,1.6344431400299073,0.23250143825291586,0.05429840087890625,0.022123171201046423,0.1,"(25,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 10}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
39,2.1209853649139405,0.2247530864437766,0.060535097122192384,0.016091637848545157,0.1,"(25,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 15}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
40,1.8534306049346925,0.25247137720828045,0.0490419864654541,0.02811964077628638,0.1,"(25,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 20}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
41,2.300531435012817,0.1665111671881734,0.0672515869140625,0.013043683450626821,0.1,"(25,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 25}",0.6206539637732299,0.4999999999999999,0.5,0.5,0.5,0.5241678315769862,0.048289342431158074,17,0.6076648026008391,0.5,0.5000000000000001,0.5,0.5,0.5215329605201678,0.04306592104033563
42,2.7794124126434325,0.13628261219396412,0.05243372917175293,0.009041556111081869,0.1,"(25,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 30}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
43,2.84354248046875,0.30366924769619424,0.07490859031677247,0.03159904278165834,0.1,"(25,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 35}",0.5,0.5118325099976476,0.5,0.5,0.5,0.5023701343893983,0.004735726114812344,35,0.5,0.5144482315966536,0.5000000000000001,0.5,0.5,0.5028896463193308,0.0057792926386614485
44,3.1244881629943846,0.3692333767158762,0.07551813125610352,0.03021399389184649,0.1,"(25,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 40}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
45,1.0617273330688477,0.2416396680676628,0.041150379180908206,0.012435367134168686,0.1,"(25, 25)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 2}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
46,0.9576094627380372,0.28012919001231007,0.059641122817993164,0.018366575796011312,0.1,"(25, 25)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 3}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
47,1.0601585865020753,0.18837186060848043,0.07972164154052734,0.02572019953106962,0.1,"(25, 25)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 4}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
48,1.2825109481811523,0.28070701841800644,0.06298594474792481,0.015657615825569987,0.1,"(25, 25)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 5}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
49,1.1211310863494872,0.30695096745198025,0.0657261848449707,0.01839642969327277,0.1,"(25, 25)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 6}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
50,1.5337677478790284,0.16712664985894812,0.04831862449645996,0.028796679853466362,0.1,"(25, 25)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 7}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
51,1.4662092208862305,0.07616941549593677,0.052376937866210935,0.03087897955372671,0.1,"(25, 25)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 8}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
52,1.5753595352172851,0.26046099751816776,0.07027912139892578,0.04732071495904749,0.1,"(25, 25)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 9}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
53,1.7089338302612305,0.21432350578083442,0.06339402198791504,0.03505852665806717,0.1,"(25, 25)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 10}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
54,1.9531434059143067,0.11935917243190902,0.07932543754577637,0.03241945156369651,0.1,"(25, 25)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 15}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
55,2.2363426208496096,0.247834300610006,0.07439665794372559,0.02242991847161787,0.1,"(25, 25)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 20}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
56,2.228269577026367,0.30285407420613175,0.07708244323730469,0.03722785628534564,0.1,"(25, 25)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 25}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
57,2.6080810546875,0.319927571659034,0.06585454940795898,0.016855907105921743,0.1,"(25, 25)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 30}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
58,3.0797246932983398,0.15884575896227182,0.062082338333129886,0.019491551190956705,0.1,"(25, 25)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 35}",0.5,0.4999999999999999,0.5,0.5257118137486236,0.5,0.5051403894716167,0.010283245245042327,18,0.5,0.5,0.5000000000000001,0.5302799167267888,0.5,0.5060559833453577,0.012111966690715492
59,3.443792390823364,0.4137015869008312,0.06884136199951171,0.028387341113081953,0.1,"(25, 25)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 40}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
60,2.2802501201629637,0.3850679729104231,0.010089874267578125,0.0031904901699474956,0.1,"(100, 25, 100)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 2}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
61,2.5952393054962157,0.4286746189167576,0.01176910400390625,0.0018079862311086983,0.1,"(100, 25, 100)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 3}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
62,2.745964765548706,0.24227472031239108,0.013195180892944336,0.0049654632449098145,0.1,"(100, 25, 100)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 4}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
63,3.0033647537231447,0.3301659243675223,0.028611183166503906,0.02189245875591973,0.1,"(100, 25, 100)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 5}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
64,3.2469964027404785,0.28532905986128526,0.009418821334838868,0.0042708033769347925,0.1,"(100, 25, 100)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 6}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
65,3.5046021938323975,0.4899542305958977,0.011141061782836914,0.003801531800296815,0.1,"(100, 25, 100)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 7}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
66,3.448273277282715,0.405046200511763,0.01333761215209961,0.0034183455622998574,0.1,"(100, 25, 100)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 8}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
67,3.3718549728393556,0.25749551497971834,0.025288200378417967,0.016295836718910585,0.1,"(100, 25, 100)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 9}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
68,4.202351427078247,0.4905174289135001,0.029918861389160157,0.04029183199282924,0.1,"(100, 25, 100)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 10}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
69,4.636035966873169,0.5564995758405578,0.011150979995727539,0.004945068643218019,0.1,"(100, 25, 100)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 15}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
70,4.539656352996826,0.5705982982822904,0.013903045654296875,0.005886479255204932,0.1,"(100, 25, 100)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 20}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
71,4.52244348526001,0.6700941365874833,0.011953496932983398,0.003794747929063831,0.1,"(100, 25, 100)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 25}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
72,5.107806396484375,0.3902119120482241,0.02404336929321289,0.028426068201130132,0.1,"(100, 25, 100)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 30}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
73,5.2982847690582275,0.5759266228503243,0.01507582664489746,0.008278800944509354,0.1,"(100, 25, 100)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 35}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
